free sulfur dioxide,volatile acidity,sulphates,0.10934423286448483
density,citric acid,chlorides,0.054645618538187675
alcohol,fixed acidity,density,0.2542748033947297
free sulfur dioxide,density,pH,0.0994482976042387
fixed acidity,density,alcohol,0.20575433079192995
chlorides,volatile acidity,alcohol,0.07337671496296902
chlorides,citric acid,pH,0.1674381821292098
sulphates,free sulfur dioxide,pH,0.056446410866295725
citric acid,volatile acidity,free sulfur dioxide,0.05352067648041753
free sulfur dioxide,citric acid,density,0.13537028813646063
total sulfur dioxide,citric acid,density,0.12696818375363644
alcohol,free sulfur dioxide,pH,0.06848039104340842
chlorides,fixed acidity,free sulfur dioxide,0.0856547396278394
density,citric acid,pH,0.16077965886879708
volatile acidity,fixed acidity,pH,0.22658869447927388
residual sugar,sulphates,alcohol,0.055640644878121905
free sulfur dioxide,residual sugar,sulphates,0.04843011681234677
total sulfur dioxide,free sulfur dioxide,alcohol,0.06020874623965197
density,chlorides,alcohol,0.08154927914511984
fixed acidity,citric acid,free sulfur dioxide,0.09837453435757522
total sulfur dioxide,volatile acidity,sulphates,0.10793718764972438
chlorides,total sulfur dioxide,alcohol,0.11376103944167687
volatile acidity,citric acid,free sulfur dioxide,0.07041541194205095
volatile acidity,citric acid,alcohol,0.10278212840096333
sulphates,fixed acidity,volatile acidity,0.08537668328239864
residual sugar,density,pH,0.09992700148587613
sulphates,density,pH,0.1039765228806864
alcohol,fixed acidity,total sulfur dioxide,0.07668986145594536
residual sugar,citric acid,alcohol,0.07671960812913281
free sulfur dioxide,citric acid,sulphates,0.11347186271985601
sulphates,volatile acidity,density,0.050134565832887314
total sulfur dioxide,density,alcohol,0.17296672900526175
total sulfur dioxide,chlorides,pH,0.11020145392377634
pH,fixed acidity,sulphates,0.07671400505292103
alcohol,citric acid,free sulfur dioxide,0.083316019761841
fixed acidity,density,pH,0.053388854995584045
density,fixed acidity,residual sugar,0.0468489232494833
total sulfur dioxide,residual sugar,sulphates,0.042435673410417006
residual sugar,fixed acidity,pH,0.23386191470299403
sulphates,residual sugar,alcohol,0.05690350347863608
volatile acidity,chlorides,total sulfur dioxide,0.07337016881496193
residual sugar,volatile acidity,chlorides,0.0758409951103634
volatile acidity,density,sulphates,0.053696292465503004
sulphates,fixed acidity,chlorides,0.07869710550488153
pH,sulphates,alcohol,0.0597331862747533
free sulfur dioxide,fixed acidity,residual sugar,0.08177567677550407
volatile acidity,residual sugar,free sulfur dioxide,0.04821791271740458
free sulfur dioxide,chlorides,density,0.15142899427480813
residual sugar,fixed acidity,density,0.2128555057031712
sulphates,free sulfur dioxide,alcohol,0.05459565932203406
alcohol,citric acid,density,0.17004101542365632
fixed acidity,volatile acidity,pH,0.05451709465047187
total sulfur dioxide,residual sugar,density,0.14808229710910073
pH,citric acid,density,0.1230487598956127
residual sugar,total sulfur dioxide,alcohol,0.12694273535180053
citric acid,chlorides,alcohol,0.11439208610239357
density,volatile acidity,total sulfur dioxide,0.06504932289860703
sulphates,chlorides,free sulfur dioxide,0.044973541125779455
fixed acidity,chlorides,free sulfur dioxide,0.056592623943337333
residual sugar,citric acid,sulphates,0.12267992121770782
sulphates,density,alcohol,0.17659817387748397
free sulfur dioxide,fixed acidity,citric acid,0.22853645528709676
free sulfur dioxide,fixed acidity,sulphates,0.08581515540371755
citric acid,residual sugar,density,0.13875987138789703
free sulfur dioxide,volatile acidity,pH,0.06175154760029342
chlorides,density,alcohol,0.16604615814020462
residual sugar,fixed acidity,citric acid,0.224969478167603
volatile acidity,fixed acidity,sulphates,0.08339929590263626
volatile acidity,fixed acidity,residual sugar,0.07118763717624763
total sulfur dioxide,citric acid,sulphates,0.10923914430692411
sulphates,volatile acidity,free sulfur dioxide,0.0540383758656503
chlorides,citric acid,density,0.12003836334819765
alcohol,residual sugar,pH,0.048008449092694055
sulphates,fixed acidity,residual sugar,0.07997435705880493
density,volatile acidity,free sulfur dioxide,0.06408725890141194
volatile acidity,pH,sulphates,0.07176662337994213
chlorides,free sulfur dioxide,total sulfur dioxide,0.28748158094072673
fixed acidity,volatile acidity,citric acid,0.18439515007241764
alcohol,citric acid,residual sugar,0.08143803942179687
alcohol,residual sugar,chlorides,0.0932378457162029
residual sugar,volatile acidity,total sulfur dioxide,0.06824219200325957
citric acid,free sulfur dioxide,sulphates,0.04722178396927472
pH,residual sugar,alcohol,0.058589117392969695
pH,total sulfur dioxide,alcohol,0.11170591831291093
density,pH,sulphates,0.06648560181808265
volatile acidity,citric acid,pH,0.19193407147666514
alcohol,free sulfur dioxide,total sulfur dioxide,0.2863079949359572
density,residual sugar,total sulfur dioxide,0.06788610474465177
density,citric acid,residual sugar,0.043809907603032036
residual sugar,chlorides,total sulfur dioxide,0.08167611703502567
citric acid,fixed acidity,residual sugar,0.08519929310407238
sulphates,chlorides,pH,0.09094685422454496
pH,volatile acidity,density,0.07133999450198564
alcohol,volatile acidity,chlorides,0.045972225065521476
total sulfur dioxide,volatile acidity,citric acid,0.14018743312719073
fixed acidity,citric acid,residual sugar,0.0739719934347648
fixed acidity,chlorides,total sulfur dioxide,0.08515726259386926
citric acid,density,sulphates,0.059915088910255154
free sulfur dioxide,volatile acidity,density,0.06931554773764735
density,volatile acidity,chlorides,0.06640818283535635
free sulfur dioxide,sulphates,alcohol,0.07098662877872794
alcohol,fixed acidity,sulphates,0.0801107834632
chlorides,free sulfur dioxide,pH,0.07736811425765776
residual sugar,total sulfur dioxide,sulphates,0.05152232178148103
citric acid,chlorides,density,0.14950052479228793
density,free sulfur dioxide,pH,0.05933118792935729
alcohol,total sulfur dioxide,sulphates,0.064031130779895
sulphates,free sulfur dioxide,total sulfur dioxide,0.27993056023855306
sulphates,volatile acidity,chlorides,0.07565553926902782
alcohol,chlorides,pH,0.09050873038800372
density,fixed acidity,chlorides,0.06599273619610518
fixed acidity,chlorides,pH,0.08604071075608669
citric acid,residual sugar,chlorides,0.06885005242871473
total sulfur dioxide,volatile acidity,alcohol,0.06900592801489228
