citric acid,fixed acidity,total sulfur dioxide,0.049955493143068096
free sulfur dioxide,volatile acidity,sulphates,0.034875344913778916
free sulfur dioxide,total sulfur dioxide,sulphates,0.08977057905291379
density,citric acid,chlorides,0.04337282375811007
volatile acidity,pH,alcohol,0.07197352708710408
alcohol,fixed acidity,density,0.10175268476118737
free sulfur dioxide,density,pH,0.05957377619962199
fixed acidity,density,alcohol,0.304021691338363
chlorides,volatile acidity,alcohol,0.06903795850970448
citric acid,fixed acidity,chlorides,0.05743395465603666
chlorides,citric acid,pH,0.06443241238577424
sulphates,free sulfur dioxide,pH,0.03662209110362985
citric acid,volatile acidity,free sulfur dioxide,0.048063100768913916
free sulfur dioxide,citric acid,density,0.07180272805673149
total sulfur dioxide,citric acid,density,0.07143757470434302
alcohol,free sulfur dioxide,pH,0.038652256082334746
chlorides,fixed acidity,free sulfur dioxide,0.025708448595519413
density,citric acid,pH,0.05669516598466171
volatile acidity,fixed acidity,pH,0.12747011666856778
residual sugar,sulphates,alcohol,0.08140130983924343
free sulfur dioxide,residual sugar,sulphates,0.047005486012622916
total sulfur dioxide,free sulfur dioxide,alcohol,0.06343787202113144
density,chlorides,alcohol,0.1142268487298505
fixed acidity,citric acid,free sulfur dioxide,0.050376754925909734
total sulfur dioxide,volatile acidity,sulphates,0.03938696687028673
chlorides,total sulfur dioxide,alcohol,0.11309919010079558
fixed acidity,residual sugar,pH,0.06847699469192724
volatile acidity,citric acid,free sulfur dioxide,0.055743736649114424
volatile acidity,citric acid,alcohol,0.08095873467599948
sulphates,fixed acidity,volatile acidity,0.02458275315897059
residual sugar,density,pH,0.06286911032770892
sulphates,density,pH,0.056826847022235914
alcohol,fixed acidity,total sulfur dioxide,0.03940196589000047
residual sugar,citric acid,alcohol,0.08292079801613325
free sulfur dioxide,citric acid,sulphates,0.03821694947692592
sulphates,volatile acidity,density,0.047499675434037957
total sulfur dioxide,density,alcohol,0.28131073581538496
fixed acidity,total sulfur dioxide,density,0.16896131648244625
total sulfur dioxide,chlorides,pH,0.033595679641413786
pH,fixed acidity,sulphates,0.03375332694350479
alcohol,citric acid,free sulfur dioxide,0.047100010481732
fixed acidity,density,pH,0.06331978220116699
residual sugar,fixed acidity,pH,0.12722583204878724
sulphates,residual sugar,alcohol,0.16215851495841624
volatile acidity,chlorides,total sulfur dioxide,0.11332494090531588
residual sugar,volatile acidity,chlorides,0.044378409382286016
volatile acidity,density,sulphates,0.05383182270738615
sulphates,fixed acidity,chlorides,0.060091285162961215
pH,sulphates,alcohol,0.08165779028297068
free sulfur dioxide,fixed acidity,residual sugar,0.05787075971408088
volatile acidity,residual sugar,free sulfur dioxide,0.10664243545439764
free sulfur dioxide,chlorides,density,0.14970849850020163
volatile acidity,residual sugar,pH,0.07098440539953259
sulphates,free sulfur dioxide,alcohol,0.0941940948101194
alcohol,citric acid,density,0.0669798870523304
fixed acidity,citric acid,density,0.07881726625041113
fixed acidity,volatile acidity,pH,0.045380528751194665
total sulfur dioxide,residual sugar,density,0.27318023792602986
pH,citric acid,density,0.06967071302091758
residual sugar,total sulfur dioxide,alcohol,0.12686342058836503
citric acid,chlorides,alcohol,0.17966108055704827
density,volatile acidity,total sulfur dioxide,0.057245401612372834
density,volatile acidity,pH,0.028361293663277325
sulphates,chlorides,free sulfur dioxide,0.06542729260029923
fixed acidity,chlorides,free sulfur dioxide,0.06525148305728737
residual sugar,citric acid,sulphates,0.04239089412561356
sulphates,density,alcohol,0.2990300880946448
free sulfur dioxide,fixed acidity,citric acid,0.09774577183967115
free sulfur dioxide,fixed acidity,sulphates,0.030985877997620977
citric acid,residual sugar,density,0.2832361569821501
free sulfur dioxide,volatile acidity,pH,0.039301004417022535
chlorides,density,alcohol,0.2708913280235663
residual sugar,fixed acidity,citric acid,0.09704070386346592
volatile acidity,fixed acidity,sulphates,0.02681124775562502
volatile acidity,fixed acidity,residual sugar,0.056911054119521756
total sulfur dioxide,citric acid,sulphates,0.031493817150976045
sulphates,volatile acidity,free sulfur dioxide,0.0498129332306952
chlorides,citric acid,density,0.06457331051674628
alcohol,residual sugar,pH,0.05691212511548371
sulphates,fixed acidity,residual sugar,0.051435899302466864
density,volatile acidity,free sulfur dioxide,0.05262844706046879
volatile acidity,pH,sulphates,0.06060102148521876
chlorides,free sulfur dioxide,total sulfur dioxide,0.19487378002982542
volatile acidity,total sulfur dioxide,pH,0.031032190338082855
fixed acidity,volatile acidity,citric acid,0.06113433660994319
alcohol,citric acid,residual sugar,0.04544855452776309
residual sugar,volatile acidity,total sulfur dioxide,0.06537730218229272
citric acid,free sulfur dioxide,sulphates,0.03180722513091347
pH,residual sugar,alcohol,0.16212466614372556
pH,total sulfur dioxide,alcohol,0.134175074566624
density,pH,sulphates,0.058896586740283606
volatile acidity,citric acid,pH,0.05891559026352376
alcohol,free sulfur dioxide,total sulfur dioxide,0.19319821317905667
density,residual sugar,total sulfur dioxide,0.06865526294077329
citric acid,pH,alcohol,0.0745768860520531
residual sugar,chlorides,total sulfur dioxide,0.10535983221358235
citric acid,total sulfur dioxide,pH,0.03487943439347938
citric acid,fixed acidity,residual sugar,0.044853478233415636
sulphates,chlorides,pH,0.038411931573176766
pH,volatile acidity,density,0.04030562953118861
alcohol,volatile acidity,chlorides,0.03370869084329329
total sulfur dioxide,volatile acidity,citric acid,0.07394798104142031
fixed acidity,volatile acidity,chlorides,0.044027133137369515
fixed acidity,citric acid,residual sugar,0.0474653680412665
fixed acidity,chlorides,total sulfur dioxide,0.10780680754110102
citric acid,free sulfur dioxide,density,0.10283068865059491
citric acid,density,sulphates,0.05946411045399894
free sulfur dioxide,volatile acidity,density,0.044700343839359835
density,volatile acidity,chlorides,0.043673016926271006
free sulfur dioxide,sulphates,alcohol,0.08367778792369315
alcohol,fixed acidity,sulphates,0.03704244183864105
chlorides,free sulfur dioxide,pH,0.036225404056684354
density,fixed acidity,alcohol,0.051454965133931
residual sugar,total sulfur dioxide,sulphates,0.0953129635244499
citric acid,chlorides,density,0.14869531901592203
density,free sulfur dioxide,pH,0.035281323808100826
alcohol,total sulfur dioxide,sulphates,0.0637164023746645
sulphates,free sulfur dioxide,total sulfur dioxide,0.19585039568726686
sulphates,volatile acidity,chlorides,0.04369709595777117
chlorides,residual sugar,total sulfur dioxide,0.10685833433243397
alcohol,residual sugar,total sulfur dioxide,0.09543785521382359
alcohol,chlorides,pH,0.04340279584043796
pH,density,sulphates,0.06287890875765544
density,fixed acidity,chlorides,0.03381760464301827
citric acid,residual sugar,chlorides,0.07322894852356272
total sulfur dioxide,volatile acidity,alcohol,0.07437194093661187
density,volatile acidity,citric acid,0.07611581544822746
residual sugar,density,alcohol,0.3038322777230014
pH,free sulfur dioxide,density,0.1043266972911961
pH,fixed acidity,density,0.095948982251433
residual sugar,fixed acidity,sulphates,0.024813749560296437
residual sugar,chlorides,sulphates,0.06077661032770507
alcohol,volatile acidity,density,0.03992624886471753
volatile acidity,sulphates,alcohol,0.07563850814212725
density,residual sugar,chlorides,0.07977860540800075
alcohol,density,pH,0.045215911726032246
citric acid,residual sugar,pH,0.072605029282728
free sulfur dioxide,fixed acidity,alcohol,0.05755871266281018
sulphates,volatile acidity,total sulfur dioxide,0.06595077695470436
alcohol,fixed acidity,free sulfur dioxide,0.0315640609504442
chlorides,fixed acidity,residual sugar,0.0519039172908376
citric acid,total sulfur dioxide,sulphates,0.07051952671052279
volatile acidity,total sulfur dioxide,alcohol,0.14002675775930823
pH,density,alcohol,0.2984890245548216
sulphates,fixed acidity,total sulfur dioxide,0.04318122102732004
chlorides,fixed acidity,alcohol,0.0502143453900496
total sulfur dioxide,density,pH,0.06580326696617853
sulphates,citric acid,density,0.0794204171676913
sulphates,volatile acidity,alcohol,0.08108085507916363
chlorides,residual sugar,sulphates,0.01694372550667697
total sulfur dioxide,density,sulphates,0.06325889600909149
alcohol,citric acid,total sulfur dioxide,0.05016485963218283
pH,residual sugar,chlorides,0.08082352651276059
sulphates,volatile acidity,citric acid,0.06433099833003297
free sulfur dioxide,volatile acidity,residual sugar,0.0685559947753207
free sulfur dioxide,residual sugar,total sulfur dioxide,0.10575977080325533
chlorides,citric acid,total sulfur dioxide,0.04533266785414504
free sulfur dioxide,total sulfur dioxide,density,0.1672993517117651
pH,total sulfur dioxide,density,0.1657248381756306
total sulfur dioxide,fixed acidity,sulphates,0.031505733811180485
citric acid,volatile acidity,chlorides,0.04045640003915342
chlorides,residual sugar,alcohol,0.15440074843884918
fixed acidity,volatile acidity,alcohol,0.0715545252521321
fixed acidity,free sulfur dioxide,sulphates,0.03463929659516743
total sulfur dioxide,volatile acidity,pH,0.03840207111219858
density,pH,alcohol,0.06843959463552386
pH,citric acid,free sulfur dioxide,0.05514038685503071
alcohol,citric acid,pH,0.05352543415020976
citric acid,fixed acidity,free sulfur dioxide,0.04108671348696148
citric acid,chlorides,free sulfur dioxide,0.06629060219138679
chlorides,free sulfur dioxide,sulphates,0.020934645531173635
fixed acidity,free sulfur dioxide,pH,0.04481719425977823
free sulfur dioxide,fixed acidity,pH,0.12486201163102253
fixed acidity,free sulfur dioxide,total sulfur dioxide,0.19931775470643226
alcohol,free sulfur dioxide,sulphates,0.03707403007348474
sulphates,citric acid,pH,0.06645492896548244
chlorides,fixed acidity,volatile acidity,0.024438710616768968
volatile acidity,citric acid,sulphates,0.037246361244132775
density,free sulfur dioxide,sulphates,0.03243737619240995
density,fixed acidity,total sulfur dioxide,0.043553939001482606
sulphates,fixed acidity,citric acid,0.10175879078142333
fixed acidity,total sulfur dioxide,sulphates,0.07000514236319165
volatile acidity,citric acid,density,0.07874325573065577
volatile acidity,density,pH,0.0576031754538075
residual sugar,total sulfur dioxide,density,0.1896740208207123
sulphates,residual sugar,free sulfur dioxide,0.10976709043828536
total sulfur dioxide,volatile acidity,density,0.040698896867024256
pH,free sulfur dioxide,total sulfur dioxide,0.18960584809641
total sulfur dioxide,citric acid,pH,0.06046237616952757
density,chlorides,sulphates,0.04484850599425611
total sulfur dioxide,chlorides,alcohol,0.16864379831151477
residual sugar,chlorides,pH,0.03356219206467061
citric acid,volatile acidity,pH,0.038483789892312395
free sulfur dioxide,residual sugar,density,0.27665384357283285
total sulfur dioxide,fixed acidity,residual sugar,0.06177340558749504
fixed acidity,volatile acidity,residual sugar,0.07365282485469601
residual sugar,citric acid,total sulfur dioxide,0.062366258850619444
chlorides,fixed acidity,sulphates,0.03633260453860561
density,residual sugar,alcohol,0.12526033431348255
density,total sulfur dioxide,sulphates,0.07534621827833157
fixed acidity,sulphates,alcohol,0.08049567223437662
pH,volatile acidity,total sulfur dioxide,0.05523836391973938
alcohol,citric acid,sulphates,0.026623020715259533
fixed acidity,pH,sulphates,0.06668112833973591
free sulfur dioxide,volatile acidity,citric acid,0.06938820367843783
citric acid,residual sugar,total sulfur dioxide,0.112237373613354
volatile acidity,residual sugar,sulphates,0.03926412400094799
residual sugar,pH,alcohol,0.06160199606328391
pH,chlorides,alcohol,0.18935204295294217
sulphates,residual sugar,density,0.2771407415812664
citric acid,chlorides,pH,0.039434326730197214
